,Compound Score,Date,Negative Score,Neutral Score,Positive Score,Source,Text,Tweets Ago
39,0.0,Fri Jan 19 09:00:05 +0000 2018,0.0,1.0,0.0,@BBC,"💜✨ Last Friday, Brighton had a massive Queer Prom for those who never got to go as themselves.… https://t.co/26ut0ioyYR",39
40,0.1695,Fri Jan 19 08:40:01 +0000 2018,0.0,0.878,0.122,@BBC,Down's syndrome hasn't stopped this 21-year-old entrepreneur making millions selling colourful socks. 💰 https://t.co/VxVAsAs2Hh,40
41,-0.8126,Fri Jan 19 08:20:04 +0000 2018,0.303,0.697,0.0,@BBC,The earliest known use of the term 'prisoner of war' in England has been discovered by a historian at… https://t.co/Ia6OEU5fNf,41
42,0.4939,Fri Jan 19 08:00:03 +0000 2018,0.0,0.714,0.286,@BBC,🐊 The race is on to save this crocodile. https://t.co/cm7nfo1iDm,42
43,0.0,Fri Jan 19 07:38:03 +0000 2018,0.0,1.0,0.0,@BBC,✨🔭 The Hubble telescope has bagged an unprecedented close-up view of one of the Universe's oldest known galaxies.… https://t.co/evuKAeSyRW,43
44,0.4019,Thu Jan 18 19:35:04 +0000 2018,0.0,0.87,0.13,@BBC,🗞 @MrNishKumar and a team of hilarious correspondents keep you up to date with everything that has happened - or no… https://t.co/W0j9BxAnPT,44
45,0.6908,Thu Jan 18 19:00:10 +0000 2018,0.0,0.749,0.251,@BBC,"'In the last 6 months I've accomplished more than I could ever have imagined.'

An inspiring story of recovery from… https://t.co/k8On0TfxMr",45
46,0.4588,Thu Jan 18 18:30:06 +0000 2018,0.0,0.87,0.13,@BBC,"🎬🎞 Are you a big film buff?
With awards season here, time to test your knowledge of 2017's biggest films. 👉… https://t.co/yPRDx4CJBH",46
47,0.0,Thu Jan 18 18:00:20 +0000 2018,0.0,1.0,0.0,@BBC,How 'heterosexuality' was invented. 👉 https://t.co/HgN6yQYexM https://t.co/qkYiiXe2pF,47
48,0.0,Thu Jan 18 17:30:03 +0000 2018,0.0,1.0,0.0,@BBC,"'I'm going to say things you never said. Go places you never were. Do things you never did.'

😂 @TomHanks on meetin… https://t.co/4t03nQDOte",48
49,0.5423,Thu Jan 18 17:00:08 +0000 2018,0.0,0.788,0.212,@BBC,🏆 @Paulcattermole1 from @SClub7 says he's selling his @BRITs Award because he's 'skint'. https://t.co/CfqJl09O7m https://t.co/AroknTfrjo,49
50,-0.6705,Thu Jan 18 16:50:57 +0000 2018,0.244,0.756,0.0,@BBC,RT @bbcthree: Annie was badly burnt in a fire as a baby before she was given up for adoption. #PlasticSurgeryCapitalOfTheWorld https://t.co…,50
51,0.0,Thu Jan 18 16:30:06 +0000 2018,0.0,1.0,0.0,@BBC,"💛 😱 ONE MORE SLEEP!!!

Watch @AdeleRoberts explore the K-pop phenomenon and meet the incredible @BTS_twt!

Friday f… https://t.co/Z1DJBgavnB",51
52,0.0,Thu Jan 18 16:17:17 +0000 2018,0.0,1.0,0.0,@BBC,"RT @bbcthree: ""A lot of my tics can be about bunnies and fairy princesses, then they can be about backstreet abortions and prostitutes.""

2…",52
53,-0.296,Thu Jan 18 16:11:37 +0000 2018,0.104,0.896,0.0,@BBC,"RT @bbcworldservice: When 17-year-old Samuel Lethbridge went missing in Australia, his father couldn't just sit back and do nothing. 📻 http…",53
54,0.2732,Thu Jan 18 16:03:04 +0000 2018,0.093,0.729,0.178,@BBC,A wolf which went on the loose for about six hours after escaping from its enclosure has been safely recaptured. 🐺… https://t.co/WvSzXC5TPq,54
